idVariavelAleatoria;idVariavelAleatoriaInterna;AttMatriz;Iteradores;02/2019;03/2019;04/2019;05/2019;06/2019;07/2019;08/2019;09/2019;10/2019;11/2019;12/2019
142;1;tendencia_temporal;1;8326;13868;17448;9874;3796;1843;999;644;825;1096;2002
143;1;tendencia_temporal;1;152;140;142;96;76;65;57;62;76;76;106
144;1;tendencia_temporal;1;594;430;857;1647;907;586;375;335;470;522;911
145;1;tendencia_temporal;1;294;249;189;98;64;54;50;50;72;93;164
146;1;tendencia_temporal;1;1258;1206;848;410;184;79;50;37;112;235;485
147;1;tendencia_temporal;1;5;7;1;9;8;4;5;3;1;0;0
148;1;tendencia_temporal;1;101;100;91;82;73;70;68;66;70;79;82
149;1;tendencia_temporal;1;17;11;31;23;15;10;27;15;7;10;26
150;1;tendencia_temporal;1;12;13;10;24;17;11;9;5;3;3;4
151;1;tendencia_temporal;1;39441;42723;36567;29306;21167;11069;6154;3730;5499;8349;18676
152;1;tendencia_temporal;1;1197;873;1435;2556;2077;1389;979;551;349;247;412
153;1;tendencia_temporal;1;295;646;890;622;659;427;192;86;-6;34;-171
154;1;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
155;1;tendencia_temporal;1;83;81;87;72;58;54;55;51;55;61;78
156;1;tendencia_temporal;1;103;110;95;80;62;56;49;44;49;61;68
157;1;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
158;1;tendencia_temporal;1;512;566;495;395;217;121;69;47;74;129;386
159;1;tendencia_temporal;1;230;278;265;189;126;105;83;66;78;102;200
160;1;tendencia_temporal;1;9;12;10;8;6;5;4;3;3;3;9
161;1;tendencia_temporal;1;9893;15597;19051;13661;6935;2918;1441;890;920;1662;2900
162;1;tendencia_temporal;1;16;21;19;15;9;8;6;5;6;6;15
163;1;tendencia_temporal;1;50;190;96;143;396;110;48;66;57;89;128
