idVariavelAleatoria;AttMatriz;Iteradores;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1;residuo_espaco_amostral;04/01/2023;1270.437469;641.8441767;1198.857912;956.9184595;1162.440646;703.2062408;946.9847139;378.9909392;732.9667969;199.7437223;510.1136913;872.5548013;613.2427949;1828.187654;2278.852503;145.336455;689.8576818;639.2035877;788.1068071;636.621192
1;residuo_espaco_amostral;05/01/2023;832.1560163;398.8877954;983.5737889;180.9297434;532.0575746;575.3008591;447.4235633;306.2905831;440.5200433;872.4685265;250.863103;559.2964745;570.0190118;315.5284291;440.8479788;341.6170938;506.345018;448.1818637;777.8484861;710.0963959
1;residuo_espaco_amostral;06/01/2023;1609.060723;-219.4478162;145.0954456;-236.0611007;81.77680634;298.207231;-117.9019634;-133.0626196;-164.0317504;-11.37492912;313.3355067;-160.5084527;-105.0282429;-14.58348226;341.0159872;137.2521922;157.2561629;-116.4213623;307.647091;-127.9227134
1;residuo_espaco_amostral;07/01/2023;169.2154239;444.8451376;299.8494174;400.8200004;241.6090856;477.7242131;238.8559002;480.1131831;259.1731791;481.7790287;499.6531024;278.7625808;502.479064;391.8894147;405.2234028;389.732554;225.8692855;296.249761;306.169713;333.6843711
1;residuo_espaco_amostral;08/01/2023;536.477686;203.0052033;222.3602014;263.2794775;371.7430765;306.5460863;339.5743008;250.4230257;280.5420842;178.4483168;248.130086;180.5375153;334.5448884;202.0186883;256.2388634;326.3430535;280.2041557;275.3776547;287.0391158;230.8720352
1;residuo_espaco_amostral;09/01/2023;-531.959807;-162.0629673;-609.3880651;-223.0084089;-361.1605616;-447.5593758;-472.8451154;-504.5169155;-560.9660789;-518.8324252;-315.1632308;-452.8769858;-578.8763684;-474.8338744;-662.974875;-763.3359209;-715.2383854;-478.2206494;-479.2979266;-398.2569263
1;residuo_espaco_amostral;10/01/2023;414.3226816;1115.000006;204.0056458;173.7979883;145.0095938;-156.2097557;299.9096134;177.9244718;94.91123773;-102.0365472;-190.7181697;250.9421192;267.060455;253.7099368;-117.0369802;206.1760267;4.059543388;-34.55661164;164.9484985;154.1755516
1;residuo_espaco_amostral;11/01/2023;647.8386632;714.5197919;582.7768761;798.1233717;870.5818469;999.5248404;385.0942965;830.408671;662.0054842;1071.91926;1517.821098;692.5192531;544.1080097;526.6114894;95.63981857;119.8965696;763.7055182;762.8505498;702.5176661;362.813624
1;residuo_espaco_amostral;12/01/2023;906.6134989;333.3358693;483.7884834;1520.934466;1445.930536;1373.889343;843.1524688;1041.445493;649.2943481;1586.406502;561.1828875;1440.86244;1056.159711;851.7625129;1379.186666;937.0651905;1204.387617;1896.702892;1054.527695;863.7634585
1;residuo_espaco_amostral;01/01/2024;1446.6521;-723.4185494;25.50950484;611.8940597;-1280.351966;1950.906367;76.31959692;1086.539743;-54.86419374;-365.4852734;1655.384325;1729.994553;-770.3001554;624.9465643;1911.410716;820.9019721;757.2618233;1296.086796;1556.819604;-109.8858096
1;residuo_espaco_amostral;02/01/2024;1443.929152;1722.010856;1873.38694;2038.517179;2812.059081;2897.050553;881.8607346;1551.483963;2173.218932;1483.780846;2311.557356;3350.313475;-578.104318;1884.081548;1995.507214;-565.5641647;2326.703168;807.556086;916.152769;3929.317507
1;residuo_espaco_amostral;03/01/2024;2075.806573;1615.74337;1091.576167;2942.071829;1194.693068;2224.056636;714.8179237;1191.343531;973.0630285;1803.611827;3050.483097;1827.963534;1173.228033;776.8026649;1421.542696;222.8528665;603.7535222;776.4177938;1206.235461;968.535619
1;residuo_espaco_amostral;04/01/2024;1235.344321;702.9532911;325.0138659;1018.845015;1127.972175;887.7971166;1634.21665;848.9939773;389.2460794;920.8327932;252.0327695;1367.593284;365.3654705;831.4220902;569.8495321;391.7855916;1128.402983;944.6323957;-57.22970287;598.1331196
1;residuo_espaco_amostral;05/01/2024;345.7483814;484.8024248;509.0899876;545.4650898;500.633683;658.953158;463.6628174;495.3888384;423.5040636;633.4539819;592.5563445;-12.63463042;492.7194527;423.6688189;218.70637;720.711899;894.6653403;655.9229112;622.8674458;722.0577187
1;residuo_espaco_amostral;06/01/2024;3.073361415;173.4825855;36.80563575;252.9784536;301.5258825;-113.3599104;-141.0345893;-69.69934884;95.19275882;-2.421987232;160.6863522;-46.16266284;1554.279454;224.8195641;-169.8953211;396.5636168;-190.5655836;88.65498298;-119.9251693;168.5187054
